Locke ID	Entity ID	Vernacular Name	First name	Last name	Alias (alternate spellings, etc.)	Title(s)	Title full	Gender	Birthdate	Birth Location	Deathdate	Relationships	Leaves	Religion at Birth	Converted to	Date of Conversion	Communities	expertise	Notes
1	47678	Leonard Addison	Leonard	Addison	Leonard Addison			M		England		48378, 48379	no						
2	47686	William Aglionby	William	Aglionby	William Aglionby			M	1642-01-01T00:00:00Z	England	1705-11-28T00:00:00Z	47804, 49326	no				scholar, secular_official, FRS, professional	art_history, diplomat, foreign_customs, switzerland, physician, bonn	
3	47695	Aleaume		Aleaume	Alleaume					Rouen, France		50390	no						french
4	47704	Lady Anne Alford	Lady Anne	Alford	Lady Anne Alford, Ann née Corbet			F	1619-01-01T00:00:00Z	England	1693-01-01T00:00:00Z	47705	no	anglican					Mother of John Alford
5	47705	John Alford	John	Alford	John Alford			M	1647-01-01T00:00:00Z	England		47704	no	anglican			secular_official, landowner	pupil, politician	one of locke's students at christchurch, son of lady anne
6	47714	William Allestree	William	Allestree	William Allestree			M	1643-01-01T00:00:00Z	England	1690-01-01T00:00:00Z	50254	no	anglican			secular_official, scholar	foreign_customs, witchcraft, diplomat, politician, administrator	Fellow-student of Locke's at Christ Church Oxford. Wrote to him from Sweden. Possibly a 'scholar', since provost of Eton, briefly? (HRF Bourne)
7	47724	George Anderson	George	Anderson	George Anderson			M	1676-01-01T00:00:00Z	Scotland	1756-01-01T00:00:00Z		yes	church_of_scotland			professional	tutor, education	Wrote to locke asking for pedagogical advice
8	47732	[anonymous]		[anonymous]						place unknown			yes						
9	47749	Dorothy Ashley, countess of Shaftesbury	Dorothy	Ashley	Dorothy Ashley, countess of Shaftesbury, née Manners	countess	Countess of Shaftesbury	F		England	1698-01-01T00:00:00Z	48327, 48326, 48330, 49037	no	anglican			titled_nobility	patient	Third wife to Lord Ashley, patient of Locke's, sister of ann howe
10	47751	Francis Atkins	Francis	Atkins	Francis Atkins			M		place unknown			yes						Local & early friend of Locke's
11	47755	Noel Aubert de Versé	Noel	Aubert de Versé	Aubert, M. Aubert, 			M	1642-01-01T00:00:00Z	France	1714-01-01T00:00:00Z	48837, 50390, 49326	no	catholic	huguenot, catholic, freethinker, catholic	1662, 1670, 1685, 1689	clergy, scholar	translator, theologian, philosopher	
12	47759	John Aubrey	John	Aubrey	John Aubrey			M	1626-05-12T00:00:00Z	Easton Pierse, Wiltshire, England	1697-06-07T00:00:00Z	48034, 49071, 48327	no	anglican	freethinker, deist	1665	scholar, FRS	antiquary, biographer, astronomer, mathematician, astronomer, book_collector, natural_history	
13	47790	Sir John Banks	Sir John	Banks	Sir John Banks	knight, baronet	knight, baronet	M	1627-01-01T00:00:00Z	England	1699-01-01T00:00:00Z	50306, 48327, 49813, 50378	no	anglican			titled_nobility, professional, secular_official	finance, banking, merchant, politician	appointed locke to tutor his son Caleb in France in 1677-8
14	47793	Jean Barbeyrac	Jean	Barbeyrac	Jean Barbeyrac			M	1674-03-15T00:00:00Z	Béziers, Hérault, France	1744-01-01T00:00:00Z	48216	no	catholic			professional, scholar	physician, lawyer, philosopher, translator, theologian	Religious status is pretty dubious since he is a theologian
15	47804	W. Barker	W.	Barker	W. Barker			M		England		47686	no				secular_official	finance, administrator	Board of Trade
16	47806	Henry Barnard	Henry	Barnard	Sir Henry Barnard	knight	knight	M		Bridgenorth, Shropshire, England	1680-04-25T00:00:00Z		yes				professional, secular_official, landowner	merchant, politician	
17	47808	Joseph Barnes	Joseph	Barnes	Joseph Barnes			M		England		50303	no				professional	farming	tenant of Locke's estate in Buckill, Somerset, found ofr him by Stratton
